Bait	Prey	PreyGene.x	Spec	SpecSum	AvgSpec	NumReplicates.x	ctrlCounts	AvgP.x	MaxP.x	TopoAvgP.x	TopoMaxP.x	SaintScore.x	logOddsScore	FoldChange.x	BFDR.x	boosted_by.x
HDAC2	O15156	ZBT7B_HUMAN	11|7|9|8	35	8.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	14.95	87.5	0.0	
HDAC2	O15213	WDR46_HUMAN	5|6|5|5	21	5.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.71	52.5	0.0	
HDAC2	O15226	NKRF_HUMAN	6|6|6|5	23	5.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.71	57.5	0.0	
HDAC2	O15371	EIF3D_HUMAN	7|10|8|8	33	8.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	14.95	82.5	0.0	
HDAC2	O43143	DHX15_HUMAN	19|19|19|20	77	19.25	4	3|2|1|1	1.0	1.0	1.0	1.0	1.0	20.11	11.0	0.0	
HDAC2	O43175	SERA_HUMAN	5|4|3|3	15	3.75	4	0|0|1|2	0.99	1.0	0.99	1.0	0.99	3.83	5.0	0.0	
HDAC2	O43290	SNUT1_HUMAN	7|11|11|7	36	9.0	4	2|3|1|1	1.0	1.0	1.0	1.0	1.0	5.53	5.14	0.0	
HDAC2	O43390	HNRPR_HUMAN	6|10|5|6	27	6.75	4	2|1|1|3	0.98	1.0	0.98	1.0	0.98	3.15	3.86	0.0	
HDAC2	O60264	SMCA5_HUMAN	17|23|18|13	71	17.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	24.21	177.5	0.0	
HDAC2	O60341	KDM1A_HUMAN	111|108|108|107	434	108.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	159.12	1085.0	0.0	
HDAC2	O60506	HNRPQ_HUMAN	8|9|7|7	31	7.75	4	1|1|1|3	1.0	1.0	1.0	1.0	1.0	6.21	5.17	0.0	
HDAC2	O60716	CTND1_HUMAN	8|7|6|5	26	6.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.71	65.0	0.0	
HDAC2	O60762	DPM1_HUMAN	4|2|2|3	11	2.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	27.5	0.0	
HDAC2	O60832	DKC1_HUMAN	8|10|8|7	33	8.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	14.95	82.5	0.0	
HDAC2	O60884	DNJA2_HUMAN	5|2|2|5	14	3.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	35.0	0.0	
HDAC2	O75146	HIP1R_HUMAN	21|23|23|24	91	22.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	36.11	227.5	0.0	
HDAC2	O75182	SIN3B_HUMAN	61|58|56|56	231	57.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	86.63	577.5	0.0	
HDAC2	O75362	ZN217_HUMAN	78|64|69|73	284	71.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	98.05	710.0	0.0	
HDAC2	O75367	H2AY_HUMAN	11|12|12|15	50	12.5	4	1|0|1|2	1.0	1.0	1.0	1.0	1.0	13.09	12.5	0.0	
HDAC2	O75400	PR40A_HUMAN	5|5|3|2	15	3.75	4	0|0|0|1	1.0	1.0	1.0	1.0	1.0	4.62	15.0	0.0	
HDAC2	O75446	SAP30_HUMAN	5|6|7|5	23	5.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.71	57.5	0.0	
HDAC2	O75533	SF3B1_HUMAN	9|11|9|7	36	9.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	14.95	90.0	0.0	
HDAC2	O75643	U520_HUMAN	37|43|36|24	140	35.0	4	4|1|0|3	1.0	1.0	1.0	1.0	1.0	16.76	17.5	0.0	
HDAC2	O75683	SURF6_HUMAN	4|3|3|4	14	3.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	35.0	0.0	
HDAC2	O75934	SPF27_HUMAN	3|4|4|4	15	3.75	4	1|1|1|1	0.98	0.99	0.98	0.99	0.98	3.04	3.75	0.0	
HDAC2	O75947	ATP5H_HUMAN	4|3|5|3	15	3.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	37.5	0.0	
HDAC2	O76021	RL1D1_HUMAN	16|13|13|10	52	13.0	4	3|1|0|1	1.0	1.0	1.0	1.0	1.0	10.35	10.4	0.0	
HDAC2	O94776	MTA2_HUMAN	148|137|127|133	545	136.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	187.43	1362.5	0.0	
HDAC2	O94880	PHF14_HUMAN	36|25|25|28	114	28.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	41.97	285.0	0.0	
HDAC2	O94906	PRP6_HUMAN	4|6|3|3	16	4.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	40.0	0.0	
HDAC2	O95232	LC7L3_HUMAN	5|2|4|3	14	3.5	4	0|0|0|1	1.0	1.0	1.0	1.0	1.0	4.62	14.0	0.0	
HDAC2	O95299	NDUAA_HUMAN	2|3|3|4	12	3.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	30.0	0.0	
HDAC2	O95785	WIZ_HUMAN	3|2|3|3	11	2.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	27.5	0.0	
HDAC2	O95793	STAU1_HUMAN	9|6|12|8	35	8.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	13.34	87.5	0.0	
HDAC2	O95831	AIFM1_HUMAN	7|9|5|7	28	7.0	4	4|1|1|2	0.97	1.0	0.97	1.0	0.97	2.34	3.5	0.0	
HDAC2	O95983	MBD3_HUMAN	35|32|30|34	131	32.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	49.25	327.5	0.0	
HDAC2	P00533	EGFR_HUMAN	19|21|18|11	69	17.25	4	3|1|1|1	1.0	1.0	1.0	1.0	1.0	10.94	11.5	0.0	
HDAC2	P04637	P53_HUMAN	8|9|8|6	31	7.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	13.34	77.5	0.0	
HDAC2	P04792	HSPB1_HUMAN	6|4|5|6	21	5.25	4	2|0|1|3	0.98	1.0	0.98	1.0	0.98	2.73	3.5	0.0	
HDAC2	P04843	RPN1_HUMAN	14|11|7|9	41	10.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	14.95	102.5	0.0	
HDAC2	P05023	AT1A1_HUMAN	11|9|12|7	39	9.75	4	0|0|0|1	1.0	1.0	1.0	1.0	1.0	12.56	39.0	0.0	
HDAC2	P05141	ADT2_HUMAN	20|19|22|14	75	18.75	4	6|3|3|6	1.0	1.0	1.0	1.0	1.0	5.6	4.17	0.0	
HDAC2	P05386	RLA1_HUMAN	3|5|6|3	17	4.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	42.5	0.0	
HDAC2	P05387	RLA2_HUMAN	11|11|12|14	48	12.0	4	2|0|0|3	1.0	1.0	1.0	1.0	1.0	8.46	9.6	0.0	
HDAC2	P06576	ATPB_HUMAN	11|11|11|11	44	11.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	21.17	110.0	0.0	
HDAC2	P06702	S10A9_HUMAN	3|3|3|3	12	3.0	4	0|0|0|1	1.0	1.0	1.0	1.0	1.0	6.25	12.0	0.0	
HDAC2	P07305	H10_HUMAN	5|5|5|8	23	5.75	4	0|0|0|2	1.0	1.0	1.0	1.0	1.0	6.08	11.5	0.0	
HDAC2	P07437	TBB5_HUMAN	10|10|12|13	45	11.25	4	4|2|3|3	1.0	1.0	1.0	1.0	1.0	5.36	3.75	0.0	
HDAC2	P07814	SYEP_HUMAN	15|15|13|13	56	14.0	4	0|0|0|1	1.0	1.0	1.0	1.0	1.0	21.66	56.0	0.0	
HDAC2	P08238	HS90B_HUMAN	7|6|7|8	28	7.0	4	2|1|2|3	0.99	1.0	0.99	1.0	0.99	3.6	3.5	0.0	
HDAC2	P08621	RU17_HUMAN	5|5|5|5	20	5.0	4	1|2|1|1	0.99	0.99	0.99	0.99	0.99	4.68	4.0	0.0	
HDAC2	P09543	CN37_HUMAN	3|7|3|2	15	3.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	37.5	0.0	
HDAC2	P10809	CH60_HUMAN	26|38|27|30	121	30.25	4	4|2|4|5	1.0	1.0	1.0	1.0	1.0	21.11	8.07	0.0	
HDAC2	P11021	BIP_HUMAN	25|25|19|22	91	22.75	4	0|0|1|2	1.0	1.0	1.0	1.0	1.0	26.4	30.33	0.0	
HDAC2	P11142	HSP7C_HUMAN	18|15|19|15	67	16.75	4	3|3|1|2	1.0	1.0	1.0	1.0	1.0	13.11	7.44	0.0	
HDAC2	P11166	GTR1_HUMAN	5|7|6|3	21	5.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	52.5	0.0	
HDAC2	P11310	ACADM_HUMAN	2|2|2|2	8	2.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	20.0	0.0	
HDAC2	P11387	TOP1_HUMAN	16|13|13|12	54	13.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	22.69	135.0	0.0	
HDAC2	P11388	TOP2A_HUMAN	11|12|10|11	44	11.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	19.64	110.0	0.0	
HDAC2	P11940	PABP1_HUMAN	5|2|2|2	11	2.75	4	0|1|0|0	0.99	1.0	0.99	1.0	0.99	4.62	11.0	0.0	
HDAC2	P12236	ADT3_HUMAN	4|5|4|5	18	4.5	4	1|1|1|1	0.99	1.0	0.99	1.0	0.99	4.25	4.5	0.0	
HDAC2	P12956	XRCC6_HUMAN	6|6|4|8	24	6.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.03	60.0	0.0	
HDAC2	P13010	XRCC5_HUMAN	4|7|5|7	23	5.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.03	57.5	0.0	
HDAC2	P13639	EF2_HUMAN	3|4|2|2	11	2.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	27.5	0.0	
HDAC2	P14618	KPYM_HUMAN	7|8|9|7	31	7.75	4	1|1|1|2	1.0	1.0	1.0	1.0	1.0	6.95	6.2	0.0	
HDAC2	P14868	SYDC_HUMAN	3|3|2|3	11	2.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	27.5	0.0	
HDAC2	P15880	RS2_HUMAN	18|18|20|14	70	17.5	4	6|3|6|5	1.0	1.0	1.0	1.0	1.0	4.06	3.5	0.0	
HDAC2	P16615	AT2A2_HUMAN	9|9|6|7	31	7.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	13.34	77.5	0.0	
HDAC2	P16989	YBOX3_HUMAN	8|5|5|2	20	5.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	50.0	0.0	
HDAC2	P17844	DDX5_HUMAN	25|20|25|20	90	22.5	4	1|2|1|2	1.0	1.0	1.0	1.0	1.0	22.66	15.0	0.0	
HDAC2	P17987	TCPA_HUMAN	26|23|30|24	103	25.75	4	1|0|0|0	1.0	1.0	1.0	1.0	1.0	36.4	103.0	0.0	
HDAC2	P18077	RL35A_HUMAN	14|14|9|11	48	12.0	4	2|0|2|1	1.0	1.0	1.0	1.0	1.0	9.39	9.6	0.0	
HDAC2	P18124	RL7_HUMAN	18|12|13|13	56	14.0	4	4|3|4|1	1.0	1.0	1.0	1.0	1.0	7.67	4.67	0.0	
HDAC2	P18583	SON_HUMAN	10|7|6|3	26	6.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	65.0	0.0	
HDAC2	P18621	RL17_HUMAN	25|20|19|16	80	20.0	4	7|5|4|2	1.0	1.0	1.0	1.0	1.0	7.96	4.44	0.0	
HDAC2	P19338	NUCL_HUMAN	18|16|15|19	68	17.0	4	4|2|4|4	1.0	1.0	1.0	1.0	1.0	9.62	4.86	0.0	
HDAC2	P19525	E2AK2_HUMAN	5|5|7|5	22	5.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.71	55.0	0.0	
HDAC2	P20042	IF2B_HUMAN	3|2|3|2	10	2.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	25.0	0.0	
HDAC2	P20700	LMNB1_HUMAN	15|20|23|17	75	18.75	4	1|0|1|1	1.0	1.0	1.0	1.0	1.0	20.2	25.0	0.0	
HDAC2	P21333	FLNA_HUMAN	39|40|31|26	136	34.0	4	16|5|5|7	0.99	1.0	0.99	1.0	0.99	3.22	4.12	0.0	
HDAC2	P22087	FBRL_HUMAN	20|16|16|17	69	17.25	4	3|6|4|3	1.0	1.0	1.0	1.0	1.0	9.37	4.31	0.0	
HDAC2	P22695	QCR2_HUMAN	3|3|4|2	12	3.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	30.0	0.0	
HDAC2	P23246	SFPQ_HUMAN	12|20|22|22	76	19.0	4	1|4|1|7	1.0	1.0	1.0	1.0	1.0	4.69	5.85	0.0	
HDAC2	P23396	RS3_HUMAN	21|16|16|18	71	17.75	4	5|2|4|3	1.0	1.0	1.0	1.0	1.0	10.7	5.07	0.0	
HDAC2	P23528	COF1_HUMAN	6|4|4|4	18	4.5	4	1|1|1|1	0.99	1.0	0.99	1.0	0.99	4.25	4.5	0.0	
HDAC2	P24539	AT5F1_HUMAN	3|4|3|3	13	3.25	4	0|0|1|1	0.99	1.0	0.99	1.0	0.99	4.74	6.5	0.0	
HDAC2	P25398	RS12_HUMAN	15|17|14|17	63	15.75	4	4|3|4|5	1.0	1.0	1.0	1.0	1.0	7.1	3.94	0.0	
HDAC2	P26358	DNMT1_HUMAN	2|4|3|3	12	3.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	30.0	0.0	
HDAC2	P26373	RL13_HUMAN	20|25|24|20	89	22.25	4	10|9|4|6	1.0	1.0	1.0	1.0	1.0	5.67	3.07	0.0	
HDAC2	P26599	PTBP1_HUMAN	6|6|8|5	25	6.25	4	1|2|0|1	1.0	1.0	1.0	1.0	1.0	5.36	6.25	0.0	
HDAC2	P26641	EF1G_HUMAN	8|7|7|4	26	6.5	4	1|1|1|3	0.98	1.0	0.98	1.0	0.98	2.69	4.33	0.0	
HDAC2	P27635	RL10_HUMAN	13|10|13|9	45	11.25	4	3|3|2|3	1.0	1.0	1.0	1.0	1.0	4.93	4.09	0.0	
HDAC2	P28288	ABCD3_HUMAN	8|7|6|4	25	6.25	4	4|1|0|1	0.98	1.0	0.98	1.0	0.98	2.69	4.17	0.0	
HDAC2	P28289	TMOD1_HUMAN	6|5|4|6	21	5.25	4	3|1|1|2	0.95	0.99	0.95	0.99	0.95	1.87	3.0	0.0	
HDAC2	P29374	ARI4A_HUMAN	2|4|2|2	10	2.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	25.0	0.0	
HDAC2	P29597	TYK2_HUMAN	3|2|2|2	9	2.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	22.5	0.0	
HDAC2	P30050	RL12_HUMAN	10|8|9|8	35	8.75	4	0|0|2|0	1.0	1.0	1.0	1.0	1.0	8.22	17.5	0.0	
HDAC2	P31040	SDHA_HUMAN	8|5|5|7	25	6.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.71	62.5	0.0	
HDAC2	P31689	DNJA1_HUMAN	4|4|3|3	14	3.5	4	0|0|0|1	1.0	1.0	1.0	1.0	1.0	6.25	14.0	0.0	
HDAC2	P32969	RL9_HUMAN	4|6|4|5	19	4.75	4	0|0|0|1	1.0	1.0	1.0	1.0	1.0	7.86	19.0	0.0	
HDAC2	P33993	MCM7_HUMAN	6|10|5|4	25	6.25	4	1|0|0|0	1.0	1.0	1.0	1.0	1.0	7.86	25.0	0.0	
HDAC2	P35222	CTNB1_HUMAN	3|2|2|2	9	2.25	4	1|1|0|0	0.97	0.99	0.97	0.99	0.97	3.4	4.5	0.0	
HDAC2	P35268	RL22_HUMAN	7|2|4|4	17	4.25	4	0|1|1|1	0.98	1.0	0.98	1.0	0.98	2.58	5.67	0.0	
HDAC2	P35637	FUS_HUMAN	2|10|4|4	20	5.0	4	0|1|2|2	0.91	1.0	0.91	1.0	0.91	0.85	4.0	0.0	
HDAC2	P36542	ATPG_HUMAN	12|11|10|11	44	11.0	4	0|1|1|0	1.0	1.0	1.0	1.0	1.0	14.83	22.0	0.0	
HDAC2	P36578	RL4_HUMAN	43|46|42|39	170	42.5	4	14|7|10|12	1.0	1.0	1.0	1.0	1.0	16.4	3.95	0.0	
HDAC2	P37108	SRP14_HUMAN	5|2|2|2	11	2.75	4	1|0|0|0	0.99	1.0	0.99	1.0	0.99	4.62	11.0	0.0	
HDAC2	P38646	GRP75_HUMAN	20|23|19|16	78	19.5	4	1|1|2|1	1.0	1.0	1.0	1.0	1.0	18.57	15.6	0.0	
HDAC2	P39023	RL3_HUMAN	30|32|27|23	112	28.0	4	9|10|5|9	1.0	1.0	1.0	1.0	1.0	4.96	3.39	0.0	
HDAC2	P39656	OST48_HUMAN	3|2|2|2	9	2.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	22.5	0.0	
HDAC2	P39880	CUX1_HUMAN	13|12|10|20	55	13.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	19.64	137.5	0.0	
HDAC2	P40227	TCPZ_HUMAN	15|12|13|13	53	13.25	4	0|1|1|1	1.0	1.0	1.0	1.0	1.0	15.95	17.67	0.0	
HDAC2	P40429	RL13A_HUMAN	12|9|9|8	38	9.5	4	3|2|0|3	1.0	1.0	1.0	1.0	1.0	5.96	4.75	0.0	
HDAC2	P40939	ECHA_HUMAN	5|5|3|6	19	4.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	47.5	0.0	
HDAC2	P42696	RBM34_HUMAN	5|4|7|6	22	5.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	10.03	55.0	0.0	
HDAC2	P42704	LPPRC_HUMAN	8|16|3|7	34	8.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	85.0	0.0	
HDAC2	P43243	MATR3_HUMAN	29|37|33|30	129	32.25	4	8|10|6|9	1.0	1.0	1.0	1.0	1.0	12.11	3.91	0.0	
HDAC2	P45880	VDAC2_HUMAN	5|4|3|3	15	3.75	4	0|0|0|3	0.99	0.99	0.99	0.99	0.99	3.88	5.0	0.0	
HDAC2	P45973	CBX5_HUMAN	2|3|2|2	9	2.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	22.5	0.0	
HDAC2	P46013	KI67_HUMAN	14|25|17|13	69	17.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	24.21	172.5	0.0	
HDAC2	P46087	NOP2_HUMAN	13|16|14|14	57	14.25	4	1|0|0|0	1.0	1.0	1.0	1.0	1.0	21.66	57.0	0.0	
HDAC2	P46100	ATRX_HUMAN	19|19|17|21	76	19.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	30.2	190.0	0.0	
HDAC2	P46777	RL5_HUMAN	11|12|10|10	43	10.75	4	2|2|3|2	1.0	1.0	1.0	1.0	1.0	7.49	4.78	0.0	
HDAC2	P46778	RL21_HUMAN	15|11|13|14	53	13.25	4	4|3|4|4	1.0	1.0	1.0	1.0	1.0	4.27	3.53	0.0	
HDAC2	P46779	RL28_HUMAN	13|12|14|15	54	13.5	4	6|4|5|2	0.99	1.0	0.99	1.0	0.99	3.94	3.18	0.0	
HDAC2	P46781	RS9_HUMAN	18|16|17|12	63	15.75	4	6|4|6|4	0.96	1.0	0.96	1.0	0.96	1.54	3.15	0.0	
HDAC2	P46940	IQGA1_HUMAN	15|12|9|10	46	11.5	4	3|2|2|2	1.0	1.0	1.0	1.0	1.0	6.38	5.11	0.0	
HDAC2	P48047	ATPO_HUMAN	5|9|9|6	29	7.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.71	72.5	0.0	
HDAC2	P48643	TCPE_HUMAN	31|27|25|31	114	28.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	41.97	285.0	0.0	
HDAC2	P49207	RL34_HUMAN	7|7|8|7	29	7.25	4	1|0|1|0	1.0	1.0	1.0	1.0	1.0	10.46	14.5	0.0	
HDAC2	P49327	FAS_HUMAN	15|10|9|9	43	10.75	4	4|3|2|2	1.0	1.0	1.0	1.0	1.0	4.93	3.91	0.0	
HDAC2	P49368	TCPG_HUMAN	27|23|25|23	98	24.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	39.05	245.0	0.0	
HDAC2	P49411	EFTU_HUMAN	15|14|14|11	54	13.5	4	2|2|3|2	1.0	1.0	1.0	1.0	1.0	8.56	6.0	0.0	
HDAC2	P49458	SRP09_HUMAN	3|4|3|4	14	3.5	4	0|0|1|0	1.0	1.0	1.0	1.0	1.0	6.25	14.0	0.0	
HDAC2	P49790	NU153_HUMAN	4|5|3|8	20	5.0	4	1|0|0|0	1.0	1.0	1.0	1.0	1.0	6.25	20.0	0.0	
HDAC2	P50402	EMD_HUMAN	7|9|6|7	29	7.25	4	2|1|2|1	1.0	1.0	1.0	1.0	1.0	5.1	4.83	0.0	
HDAC2	P50416	CPT1A_HUMAN	5|4|3|2	14	3.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	35.0	0.0	
HDAC2	P50914	RL14_HUMAN	15|16|16|14	61	15.25	4	3|1|1|4	1.0	1.0	1.0	1.0	1.0	11.94	6.78	0.0	
HDAC2	P50990	TCPQ_HUMAN	28|16|23|20	87	21.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	28.71	217.5	0.0	
HDAC2	P50991	TCPD_HUMAN	16|19|16|19	70	17.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	28.71	175.0	0.0	
HDAC2	P51114	FXR1_HUMAN	6|10|7|6	29	7.25	4	1|1|1|1	1.0	1.0	1.0	1.0	1.0	6.57	7.25	0.0	
HDAC2	P51116	FXR2_HUMAN	5|4|2|2	13	3.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	32.5	0.0	
HDAC2	P51398	RT29_HUMAN	2|2|2|2	8	2.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	20.0	0.0	
HDAC2	P51531	SMCA2_HUMAN	7|5|4|3	19	4.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	47.5	0.0	
HDAC2	P51532	SMCA4_HUMAN	15|10|10|9	44	11.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	18.09	110.0	0.0	
HDAC2	P51571	SSRD_HUMAN	5|4|4|5	18	4.5	4	2|0|0|0	1.0	1.0	1.0	1.0	1.0	5.3	9.0	0.0	
HDAC2	P51991	ROA3_HUMAN	14|16|17|14	61	15.25	4	4|5|4|7	0.99	1.0	0.99	1.0	0.99	4.06	3.05	0.0	
HDAC2	P52272	HNRPM_HUMAN	48|49|45|52	194	48.5	4	11|7|9|9	1.0	1.0	1.0	1.0	1.0	27.48	5.39	0.0	
HDAC2	P52292	IMA1_HUMAN	3|8|4|3	18	4.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	45.0	0.0	
HDAC2	P52597	HNRPF_HUMAN	19|15|14|17	65	16.25	4	5|5|6|7	0.95	1.0	0.95	1.0	0.95	1.66	2.83	0.0	
HDAC2	P53007	TXTP_HUMAN	7|7|5|3	22	5.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	55.0	0.0	
HDAC2	P53621	COPA_HUMAN	13|17|12|10	52	13.0	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	19.64	130.0	0.0	
HDAC2	P55265	DSRAD_HUMAN	7|8|7|10	32	8.0	4	2|0|0|0	1.0	1.0	1.0	1.0	1.0	7.53	16.0	0.0	
HDAC2	P55268	LAMB2_HUMAN	6|5|4|3	18	4.5	4	1|1|1|1	0.98	1.0	0.98	1.0	0.98	3.04	4.5	0.0	
HDAC2	P55769	NH2L1_HUMAN	4|4|2|3	13	3.25	4	1|0|1|1	0.97	0.99	0.97	0.99	0.97	2.58	4.33	0.0	
HDAC2	P55795	HNRH2_HUMAN	3|2|3|3	11	2.75	4	1|0|0|0	1.0	1.0	1.0	1.0	1.0	4.62	11.0	0.0	
HDAC2	P55884	EIF3B_HUMAN	2|3|3|2	10	2.5	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	25.0	0.0	
HDAC2	P56182	RRP1_HUMAN	4|5|3|3	15	3.75	4	0|1|0|1	1.0	1.0	1.0	1.0	1.0	4.74	7.5	0.0	
HDAC2	P56537	IF6_HUMAN	7|7|9|6	29	7.25	4	0|0|1|0	1.0	1.0	1.0	1.0	1.0	11.01	29.0	0.0	
HDAC2	P56545	CTBP2_HUMAN	5|3|2|3	13	3.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	32.5	0.0	
HDAC2	P60468	SC61B_HUMAN	3|3|4|3	13	3.25	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.28	32.5	0.0	
HDAC2	P60866	RS20_HUMAN	13|13|11|13	50	12.5	4	5|2|4|6	0.98	0.99	0.98	0.99	0.98	2.7	2.94	0.0	
HDAC2	P60903	S10AA_HUMAN	8|5|5|7	25	6.25	4	2|1|1|1	1.0	1.0	1.0	1.0	1.0	4.68	5.0	0.0	
HDAC2	P60953	CDC42_HUMAN	3|4|2|2	11	2.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	27.5	0.0	
HDAC2	P61247	RS3A_HUMAN	38|36|35|37	146	36.5	4	16|13|11|15	0.97	1.0	0.97	1.0	0.97	2.49	2.65	0.0	
HDAC2	P61313	RL15_HUMAN	13|13|11|10	47	11.75	4	4|3|2|2	1.0	1.0	1.0	1.0	1.0	6.1	4.27	0.0	
HDAC2	P61353	RL27_HUMAN	21|18|18|17	74	18.5	4	8|5|5|6	1.0	1.0	1.0	1.0	1.0	4.62	3.08	0.0	
HDAC2	P61964	WDR5_HUMAN	8|9|10|8	35	8.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	16.53	87.5	0.0	
HDAC2	P61978	HNRPK_HUMAN	18|18|21|19	76	19.0	4	5|4|5|9	1.0	1.0	1.0	1.0	1.0	6.6	3.3	0.0	
HDAC2	P62081	RS7_HUMAN	10|11|13|9	43	10.75	4	2|1|5|4	1.0	1.0	1.0	1.0	1.0	4.49	3.58	0.0	
HDAC2	P62140	PP1B_HUMAN	6|4|5|4	19	4.75	4	2|1|1|1	0.98	1.0	0.98	1.0	0.98	3.49	3.8	0.0	
HDAC2	P62244	RS15A_HUMAN	6|6|5|5	22	5.5	4	2|2|2|2	0.94	0.97	0.94	0.97	0.94	2.34	2.75	0.0	
HDAC2	P62249	RS16_HUMAN	15|14|12|13	54	13.5	4	7|4|5|5	0.88	0.99	0.88	0.99	0.88	0.73	2.57	0.0	
HDAC2	P62316	SMD2_HUMAN	2|4|2|3	11	2.75	4	0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.44	27.5	0.0	
HDAC2	P62318	SMD3_HUMAN	5|6|5|8	24	6.0	4	2|1|2|2	0.98	1.0	0.98	1.0	0.98	3.15	3.43	0.0	
HDAC2	P62701	RS4X_HUMAN	11|7|10|10	38	9.5	4	1|2|2|2	1.0	1.0	1.0	1.0	1.0	5.53	5.43	0.0	
HDAC2	P62750	RL23A_HUMAN	17|15|18|13	63	15.75	4	4|5|7|5	0.97	1.0	0.97	1.0	0.97	2.01	3.0	0.0	
